,Strain
0,100 OG
1,1024
2,303 OG
3,3D CBD
4,3X CRAZY
5,5TH ELEMENT
6,8 BALL KUSH
7,818 OG
8,9 POUND HAMMER
9,91 KRYPT
10,A 10
11,ABUSIVE OG
12,ACAPULCO GOLD
13,ACE KILLER OG
14,ACE OF SPADES
15,ACEH
16,AFGHAN BIG BUD
17,AFGHAN COW
18,AFGHAN SKUNK
19,AFGHAN SOUR KUSH
20,AFGHANI
21,AFGHANI CBD
22,AFGHOOEY
23,AFGOO
24,AFGOOEY
25,AFKANSASTAN
26,AFRICAN
27,AIR JORDAN OG
28,ALASKA
29,ALASKAN ICE
30,ALASKAN THUNDER FUCK
31,ALICE IN WONDERLAND
32,ALIEN BUBBA
33,ALIEN DAWG
34,ALIEN DUTCHESS
35,ALIEN RIFT
36,ALIEN STARDAWG
37,ALIEN TECHNOLOGY
38,ALIENS ON MOONSHINE
39,ALLEN WRENCH
40,ALLKUSH
41,ALOHA
42,ALPHA BLUE
43,ALPHA EXPRESS
44,ALPINE STAR
45,AMERICAN KUSH
46,AMERICANO
47,AMNESIA
48,AMNESIA HAZE
49,ANCIENT KUSH
50,ANCIENT OG
51,ANESTHESIA
52,ANGEL OG
53,ANONYMOUS OG
54,APPLEBERRY
55,ARABIAN GOLD
56,ARGYLE
57,ASIAN FANTASY
58,ASTROBOY
59,ATHABASCA
60,ATOMICAL HAZE
61,AURORA BOREALIS
62,AURORA INDICA
63,AYAHUASCA PURPLE
64,B 52
65,BC SWEET TOOTH
66,BAKERSTREET
67,BANANA CANDY
68,BANGI HAZE
69,BARBARA BUD
70,BATMAN OG
71,BAY 11
72,BAY DREAM
73,BEDICA
74,BEDIOL
75,BELL RINGER
76,BERKELEY
77,BERRY NOIR
78,BERRY WHITE
79,BERTBERRY CHEESECAKE
80,BIG BANG
81,BIG BUD
82,BIG MAC
83,BIG SUR HOLY BUD
84,BIG WHITE
85,BIG WRECK
86,BIOCHEM
87,BIRDS EYE
88,BLACK AFGHAN
89,BLACK BUBBA
90,BLACK CHERRY OG
91,BLACK DIAMOND
92,BLACK DOMINA
93,BLACK ICE
94,BLACK LABEL KUSH
95,BLACK LARRY BIRD
96,BLACK LIME SPECIAL RESERVE
97,BLACK MAGIC KUSH
98,BLACK MAMBA
99,BLACK RUSSIAN
100,BLACKBERRY BUBBLE
101,BLACKBERRY CREAM
102,BLACKBERRY DIESEL
103,BLACKBERRY HASHPLANT
104,BLACKBERRY HAZE
105,BLACKBERRY KUSH
106,BLACKBERRY LIME HAZE
107,BLACKBERRY RHINO
108,BLACKBERRY X BLUEBERRY
109,BLACKWATER
110,BLAZE
111,BLUCIFER
112,BLUE AFGHANI
113,BLUE ALIEN
114,BLUE BASTARD
115,BLUE BAYOU
116,BLUE BLOOD
117,BLUE BUDDHA
118,BLUE CHEESE
119,BLUE DIAMOND
120,BLUE DOT
121,BLUE DYNAMITE
122,BLUE GOD
123,BLUE KNIGHT
124,BLUE KRIPPLE
125,BLUE LIGHTS
126,BLUE MAGIC
127,BLUE MONSTER
128,BLUE MOONSHINE
129,BLUE MOUNTAIN FIRE
130,BLUE MYSTIC
131,BLUE OX
132,BLUE POWER
133,BLUE SATELLITE
134,BLUE STEEL
135,BLUE ZOMBIE
136,BLUEBERRY
137,BLUEBERRY BLAST
138,BLUEBERRY DREAM
139,BLUEBERRY KUSH
140,BLUEBERRY SKUNK
141,BLUEBERRY SPACE CAKE
142,BLUEBERRY WALTZ
143,BOB SAGET
144,BRAINS DAMAGE
145,BRAINSTORM HAZE
146,BRAND X
147,BRAZIL AMAZONIA
148,BUBBA KUSH
149,BUBBA OG
150,BUBBLEGUM KUSH
151,BUCKEYE PURPLE
152,BUDDHA TAHOE
153,BUFFALO BILL
154,BURKLE
155,BUTTER OG
156,BUTTERSCOTCH
157,C13 HAZE
158,CBD CRITICAL CURE
159,CBD CRITICAL MASS
160,CBD MANGO HAZE
161,CBD OX
162,CBD SHARK
163,CHR SUPER OG
164,CACTUS
165,CADILLAC PURPLE
166,CALIFORNIA GRAPEFRUIT
167,CALIFORNIA HASH PLANT
168,CAMBODIAN HAZE
169,CANDY CANE
170,CANDY JACK
171,CANDYLAND
172,CANNASUTRA
173,CANNALOPE HAZE
174,CANNALOPE HAZE
175,CAPERS
176,CARAMEL KONA COFFEE KUSH
177,CARAMELLA
178,CARAMELO
179,CARNIVAL
180,CASCADIA KUSH
181,CASEY JONES
182,CASPER OG
183,CAT PISS
184,CATFISH
185,CENTRAL AMERICAN
186,CEREBRO HAZE
187,CHEM SCOUT
188,CHEMO
189,CHERRIES JUBILEE
190,CHERRY KOLA
191,CHINA YUNNAN
192,CHOCOLATE CHUNK
193,CHOCOLATE DIESEL
194,CHOCOLATE FONDUE
195,CHOCOLATE KUSH
196,CHOCOLATE OG
197,CHOCOLATE THAI
198,CHOCOLATE THUNDER
199,CHOCOLOPE
200,CHRONIC THUNDER
201,CHURCH OG
202,CINEX
203,CIRRUS
204,CITRUS PUNCH
205,CLEMENTINE
206,COLOMBIAN GOLD
207,COLOMBIAN MOJITO
208,COLORADO BUBBA
209,COLORADO CLEMENTINES
210,COMMERCE CITY KUSH
211,CONFIDENTIAL CHEESE
212,CONGO
